time_s,manifest_id,voltage_V_DG1,voltage_V_DG2,voltage_V_DG3,voltage_V_DG4,voltage_error_V_DG1,voltage_error_V_DG2,voltage_error_V_DG3,voltage_error_V_DG4,ppc_boundary_V_DG1,ppc_boundary_V_DG2,ppc_boundary_V_DG3,ppc_boundary_V_DG4
0,f27c2278f5bdb77b,310.372,310.31,310.248,310.341,0.372000000000014,0.309999999999945,0.24799999999999,0.341000000000008,24.8,24.8,24.8,24.8
0.005,f27c2278f5bdb77b,310.371956875923,310.309961457913,310.247966853023,310.340958654322,0.371956875923161,0.309961457912721,0.247966853022604,0.340958654322321,24.8,24.8,24.8,24.8
0.01,f27c2278f5bdb77b,310.371828794373,310.309846984565,310.247868402851,310.340835853555,0.371828794372504,0.309846984564956,0.247868402851395,0.340835853555461,24.8,24.8,24.8,24.8
0.015,f27c2278f5bdb77b,310.371617667043,310.309658287465,310.247706116419,310.340633428885,0.371617667043381,0.309658287465084,0.247706116418613,0.340633428884644,24.8,24.8,24.8,24.8
0.02,f27c2278f5bdb77b,310.371325373583,310.309397045322,310.247481435367,310.340353180908,0.371325373583261,0.309397045322498,0.247481435367376,0.340353180908266,24.8,24.8,24.8,24.8
0.025,f27c2278f5bdb77b,310.370953762067,310.30906490848,310.247195776448,310.339996880088,0.370953762066563,0.309064908480138,0.247195776447825,0.339996880088222,24.8,24.8,24.8,24.8
0.03,f27c2278f5bdb77b,310.370504649465,310.308663499341,310.246850531909,310.339566267195,0.370504649464806,0.308663499341378,0.246850531908535,0.339566267195039,24.8,24.8,24.8,24.8
0.035,f27c2278f5bdb77b,310.369979822108,310.30819441279,310.246447069881,310.339063053746,0.369979822108405,0.308194412790499,0.246447069880844,0.339063053745747,24.8,24.8,24.8,24.8
0.04,f27c2278f5bdb77b,310.369381036143,310.307659216608,310.245986734759,310.338488922437,0.36938103614267,0.307659216607931,0.245986734758844,0.338488922436795,24.8,24.8,24.8,24.8
0.045,f27c2278f5bdb77b,310.368710017978,310.307059451878,310.245470847573,310.33784552757,0.368710017978231,0.307059451878445,0.245470847572676,0.337845527570494,24.8,24.8,24.8,24.8
0.05,f27c2278f5bdb77b,310.367968464734,310.306396633395,310.244900706356,310.337134495475,0.367968464733849,0.306396633394854,0.244900706356248,0.337134495475368,24.8,24.8,24.8,24.8
0.055,f27c2278f5bdb77b,310.367158044674,310.305672250055,310.24427758651,310.336357424921,0.36715804467417,0.305672250054727,0.244277586510293,0.336357424921346,24.8,24.8,24.8,24.8
0.06,f27c2278f5bdb77b,310.366280397641,310.304887765253,310.243602741159,310.335515887528,0.366280397640821,0.304887765252602,0.243602741158895,0.335515887528345,24.8,24.8,24.8,24.8
0.065,f27c2278f5bdb77b,310.365337135478,310.304044617266,310.242877401502,310.33461142817,0.36533713547766,0.304044617265959,0.242877401501516,0.334611428170035,24.8,24.8,24.8,24.8
0.07,f27c2278f5bdb77b,310.36432984245,310.303144219636,310.242102777159,310.333645565372,0.364329842450104,0.303144219635783,0.242102777159289,0.333645565372024,24.8,24.8,24.8,24.8
0.075,f27c2278f5bdb77b,310.363260075659,310.302187961542,310.241280056516,310.332619791703,0.363260075658616,0.302187961541733,0.241280056515961,0.332619791703394,24.8,24.8,24.8,24.8
0.08,f27c2278f5bdb77b,310.362129365446,310.301177208172,310.240410407054,310.331535574164,0.362129365446094,0.301177208172192,0.240410407054469,0.33153557416432,24.8,24.8,24.8,24.8
0.085,f27c2278f5bdb77b,310.3609392158,310.300113301089,310.239494975688,310.330394354567,0.360939215800329,0.300113301089141,0.239494975687535,0.330394354567318,24.8,24.8,24.8,24.8
0.09,f27c2278f5bdb77b,310.35969110475,310.298997558587,310.238534889084,310.329197549914,0.359691104750027,0.298997558586962,0.238534889083837,0.329197549913658,24.8,24.8,24.8,24.8
0.095,f27c2278f5bdb77b,310.358386484756,310.297831276047,310.237531253989,310.327946552764,0.358386484755783,0.297831276047305,0.237531253989346,0.327946552764388,24.8,24.8,24.8,24.8
0.1,f27c2278f5bdb77b,310.357026783095,310.296615726288,310.236485157543,310.326642731606,0.357026783095364,0.296615726288394,0.236485157543143,0.326642731606285,24.8,24.8,24.8,24.8
0.105,f27c2278f5bdb77b,310.355613402244,310.295352159909,310.235397667589,310.325287431213,0.355613402243705,0.295352159908816,0.235397667589325,0.325287431212757,24.8,24.8,24.8,24.8
0.11,f27c2278f5bdb77b,310.354147720248,310.294041805627,310.234269832984,310.323881972999,0.354147720247568,0.294041805627444,0.234269832983671,0.323881972999345,24.8,24.8,24.8,24.8
0.115,f27c2278f5bdb77b,310.352631091095,310.292685870618,310.233102683896,310.322427655375,0.352631091094736,0.292685870617618,0.233102683895765,0.322427655375463,24.8,24.8,24.8,24.8
0.12,f27c2278f5bdb77b,310.351064845079,310.291285540837,310.231897232107,310.320925754089,0.351064845078668,0.291285540837237,0.231897232107144,0.32092575408933,24.8,24.8,24.8,24.8
0.125,f27c2278f5bdb77b,310.349450289157,310.289841981353,310.230654471304,310.31937752257,0.349450289157062,0.289841981353277,0.230654471303581,0.319377522570107,24.8,24.8,24.8,24.8
0.13,f27c2278f5bdb77b,310.347788707306,310.288356336663,310.229375377364,310.317784192264,0.347788707306165,0.288356336662787,0.229375377364306,0.31778419226373,24.8,24.8,24.8,24.8
