time_s,V1,V2,V3,V4,Vdot1,Vdot2,Vdot3,Vdot4,omega1,omega2,omega3,omega4,delta1,delta2,delta3,delta4,pV1,pV2,pV3,pV4,qV1,qV2,qV3,qV4,pW1,pW2,pW3,pW4,qW1,qW2,qW3,qW4
0,1.0012,1.001,1.0008,1.0011,0,0,0,0,0.0007,0.0005,0.0004,0.0006,0.01,0.005,-0.003,-0.008,0.01,-0.008,0.006,-0.005,-0.01,0.008,-0.006,0.005,0.008,-0.006,0.005,-0.004,-0.008,0.006,-0.005,0.004
0.005,1.00119986089007,1.00099987567069,1.00079989307427,1.00109986662685,-5.54349189665247e-05,-4.95449832316611e-05,-4.26098003476154e-05,-5.31490267938545e-05,0.000685553980979521,0.000492701051397879,0.000400344027114758,0.000599034476282683,0.0100034638254167,0.0050024817219109,-0.00299799913912989,-0.00799700241745084,0.00852143788978595,-0.00681715031182876,0.00511286273387157,-0.00426071894489298,-0.00852143788978595,0.00681715031182876,-0.00511286273387157,0.00426071894489298,0.00681715031182876,-0.00511286273387157,0.00426071894489298,-0.00340857515591438,-0.00681715031182876,0.00511286273387157,-0.00426071894489298,0.00340857515591438
0.01,1.00119944772378,1.00099950640182,1.00079957549307,1.00109947049534,-0.000109626044605426,-9.79789639172975e-05,-8.42649483772765e-05,-0.000105106678932625,0.000671250164824459,0.00048547545545356,0.000400686111892019,0.000598077649230668,0.0100068557768138,0.005004927132768,-0.00299599656296613,-0.00799400964074278,0.00726149037099553,-0.00580919229679642,0.00435689422259732,-0.00363074518549777,-0.00726149037099553,0.00580919229679642,-0.00435689422259732,0.00363074518549777,0.00580919229679642,-0.00435689422259732,0.00363074518549777,-0.00290459614839821,-0.00580919229679642,0.00435689422259732,-0.00363074518549777,0.00290459614839821
0.015,1.00119876666788,1.0009988977015,1.00079905198845,1.00109881751253,-0.000162594207999007,-0.000145320663153547,-0.000124981889227706,-0.000155892836780852,0.000657087194042662,0.000478322477665795,0.000401026221334537,0.000597129433302503,0.0100101765618066,0.00500733659749529,-0.00299399228130324,-0.0079910216266067,0.00618783391841878,-0.00495026713473503,0.00371270035105127,-0.00309391695920939,-0.00618783391841878,0.00495026713473503,-0.00371270035105127,0.00309391695920939,0.00495026713473503,-0.00371270035105127,0.00309391695920939,-0.00247513356736751,-0.00495026713473503,0.00371270035105127,-0.00309391695920939,0.00247513356736751
0.02,1.00119782378575,1.00099805498491,1.00079832721086,1.0010979134868,-0.000214359931217404,-0.000191588520777082,-0.000164776810095504,-0.000205527087840735,0.00064306372401479,0.000471241390827896,0.000401364323273252,0.000596189743808918,0.0100134268812548,0.00500971047736251,-0.00299198630409867,-0.00798803833219908,0.00527292424086448,-0.00421833939269158,0.00316375454451869,-0.00263646212043224,-0.00527292424086448,0.00421833939269158,-0.00316375454451869,0.00263646212043224,0.00421833939269158,-0.00316375454451869,0.00263646212043224,-0.00210916969634579,-0.00421833939269158,0.00316375454451869,-0.00263646212043224,0.00210916969634579
0.025,1.00119662503892,1.00099698357574,1.00079740573048,1.00109676412932,-0.000264943431605625,-0.000236800699344272,-0.000203665644090357,-0.00025402873077975,0.000629178422872496,0.000464231474955645,0.000401700386354506,0.00059525849690374,0.0100166074293275,0.00501204913002145,-0.00298997864146865,-0.00798505971509768,0.00449328964166932,-0.00359463171333545,0.00269597378500159,-0.00224664482083466,-0.00449328964166932,0.00359463171333545,-0.00269597378500159,0.00224664482083466,0.00359463171333545,-0.00269597378500159,0.00224664482083466,-0.00179731585666773,-0.00359463171333545,0.00269597378500159,-0.00224664482083466,0.00179731585666773
0.03,1.0011951762886,1.00099568870755,1.00079629203841,1.00109537505547,-0.000314364626013559,-0.000280975088056391,-0.000241664074034711,-0.00030141677940499,0.000615429971377751,0.00045729201721592,0.000402034380027418,0.000594335609574905,0.0100197188935656,0.00501435290954189,-0.00298796930368418,-0.00798208573329746,0.0038289288603031,-0.00306314308824248,0.00229735731618186,-0.00191446443015155,-0.0038289288603031,0.00306314308824248,-0.00229735731618186,0.00191446443015155,0.00306314308824248,-0.00229735731618186,0.00191446443015155,-0.00153157154412124,-0.00306314308824248,0.00229735731618186,-0.00191446443015155,0.00153157154412124
0.035,1.00119348329712,1.00099417552513,1.000794990548,1.00109375178628,-0.000362643134969685,-0.00032412930663116,-0.000278787536208677,-0.000347709966584957,0.000601817062803331,0.000450422311856007,0.000402366274531425,0.000593420999635578,0.0100227619549454,0.00501662216644718,-0.00298595830116703,-0.00797911634520633,0.00326279794683223,-0.00261023835746579,0.00195767876809934,-0.00163139897341612,-0.00326279794683223,0.00261023835746579,-0.00195767876809934,0.00163139897341612,0.00261023835746579,-0.00195767876809934,0.00163139897341612,-0.00130511917873289,-0.00261023835746579,0.00195767876809934,-0.00163139897341612,0.00130511917873289
0.04,1.00119155172949,1.00099244908583,1.000793505596,1.0010918997498,-0.000409798286799155,-0.000366280709121287,-0.000315051224040919,-0.000392926748119513,0.000588338402814415,0.000443621660133624,0.000402696040883984,0.000592514585715373,0.0100257372879406,0.00501885724774946,-0.00298394564448583,-0.00797615150964111,0.00278037300518053,-0.00222429840414442,0.00166822380310832,-0.00139018650259027,-0.00278037300518053,0.00222429840414442,-0.00166822380310832,0.00139018650259027,0.00222429840414442,-0.00166822380310832,0.00139018650259027,-0.00111214920207221,-0.00222429840414442,0.00166822380310832,-0.00139018650259027,0.00111214920207221
0.045,1.00118938715477,1.0009905143609,1.00079184144378,1.00108982428249,-0.000455849121687049,-0.00040744638768074,-0.000350470091746266,-0.000437085306558609,0.000574992709351325,0.000436889370247615,0.000403023650868431,0.000591616287251674,0.0100286455605838,0.00502105849698453,-0.00298193134435218,-0.00797319118582346,0.00236927758751462,-0.0018954220700117,0.00142156655250877,-0.00118463879375731,-0.00236927758751462,0.0018954220700117,-0.00142156655250877,0.00118463879375731,0.0018954220700117,-0.00142156655250877,0.00118463879375731,-0.000947711035005849,-0.0018954220700117,0.00142156655250877,-0.00118463879375731,0.000947711035005849
