time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0,9e81ce3e9621f78a,0.00170410420719186,4.33204984627289e-05,0,-9.45458166382029e-07,1.06364043717805e-06,0,0.000852052103595929,9.9999999999989e-05,0.0584639513302441,0.02
0.005,9e81ce3e9621f78a,0.0016872123990869,4.28904129824437e-05,-2.60055865730635e-13,-9.3607782957264e-07,1.05308756467859e-06,-4.52589354882349e-15,0.000855834940919814,9.98402425493872e-05,0.0594993375015418,0.0196039734661287
0.01,9e81ce3e9621f78a,0.00167059029861699,4.24660617329431e-05,-2.02407535176974e-13,-9.26834376850649e-07,1.04268872124988e-06,-4.35242120122581e-15,0.000855752976423318,9.93705683269841e-05,0.0604196327493558,0.0192157887830405
0.015,9e81ce3e9621f78a,0.00165419617396734,4.20467254524104e-05,2.77416978278211e-14,-9.1771113879327e-07,1.03242517139265e-06,-4.06966127464159e-15,0.000851941192385935,9.86050434981234e-05,0.0612210749671496,0.0188352906716793
0.02,9e81ce3e9621f78a,0.0016379904141256,4.16317276605294e-05,5.80674397454572e-13,-9.08692330135047e-07,1.02227916050357e-06,-3.48332473976143e-15,0.000844565761879523,9.75573093915383e-05,0.0619011057703664,0.018462326927727
0.025,9e81ce3e9621f78a,0.00162193578161024,4.12204315998199e-05,1.60711721708395e-12,-8.99763022057382e-07,1.01223388684901e-06,-2.25687524224583e-15,0.000833819028273453,9.62405983933046e-05,0.0624583147218016,0.0180967483607127
0.03,9e81ce3e9621f78a,0.00160599761095376,4.08122368467934e-05,3.22833426658065e-12,-8.90909107868765e-07,1.00227346586101e-06,1.35308431126191e-16,0.000819914275404593,9.46677493927073e-05,0.0628923595704136,0.0177384087343348
0.035,9e81ce3e9621f78a,0.00159014395209833,4.04065761734629e-05,5.50878787031195e-12,-8.82117270575855e-07,9.92382896164434e-07,4.41834069331293e-15,0.000803080482940782,9.28512223914435e-05,0.0632038675479505,0.017387164707964
0.04,9e81ce3e9621f78a,0.00157434566022768,4.00029126655099e-05,8.43214387202806e-12,-8.73374952196221e-07,9.82548027123747e-07,1.15636666908614e-14,0.000783557232187093,9.08031122799358e-05,0.0633943227152882,0.0170428757793054
0.045,9e81ce3e9621f78a,0.00155857643500815,3.9600737100548e-05,1.1879400241277e-11,-8.64670324635802e-07,9.72755527892111e-07,2.27925317508593e-14,0.00076158989405134,8.85351617951891e-05,0.0634659440024368,0.0167054042281958
0.05,9e81ce3e9621f78a,0.00154281281331137,3.91995655814048e-05,1.56097773595931e-11,-8.55992262037419e-07,9.6299285772157e-07,3.96089411269784e-14,0.000737425198000963,8.60587736812857e-05,0.063421558106638,0.0163746150615136
0.055,9e81ce3e9621f78a,0.00152703412025443,3.87989374164288e-05,1.9243412419101e-11,-8.47330314499711e-07,9.53248237645435e-07,6.37875169351432e-14,0.000711307249942061,8.3385022072946e-05,0.0632644708438019,0.0160503759591798
0.06,9e81ce3e9621f78a,0.00151122238385629,3.83984132333037e-05,2.22463297783193e-11,-8.38674683013851e-07,9.43510623269139e-07,9.73995190056698e-14,0.000683474039253285,8.05246631441214e-05,0.0629983399391743,0.0157325572212281
0.065,9e81ce3e9621f78a,0.00149536221880428,3.79975733082738e-05,2.39171044080777e-11,-8.3001619554518e-07,9.33769678676533e-07,1.42804171265887e-13,0.000654154450929423,7.74881450535947e-05,0.0626270516106984,0.0154210317159234
0.07,9e81ce3e9621f78a,0.00147944068479877,3.75960160916566e-05,2.33752461831216e-11,-8.21346284200775e-07,9.24015751357921e-07,2.02639120761017e-13,0.000623565778747726,7.42856172324391e-05,0.0621546026917705,0.0151156748289071
0.075,9e81ce3e9621f78a,0.00146344712473845,3.71933569062732e-05,1.95509719524978e-11,-8.12656963358055e-07,9.14239848095674e-07,2.79812631398535e-13,0.000591911719300064,7.09269390548606e-05,0.0615849894680052,0.0148163644133501
0.08,9e81ce3e9621f78a,0.00144737298766831,3.6789226794981e-05,1.11766429444771e-11,-8.03940808646875e-07,9.04433611725874e-07,3.77491440883837e-13,0.000559380814738553,6.74216879426037e-05,0.0609221038922521,0.0145229807410923
0.085,9e81ce3e9621f78a,0.00143121164097323,3.63832714923018e-05,-3.22067372771073e-12,-7.95190936837137e-07,8.94589298737827e-07,4.99068668335934e-13,0.000526145303624909,6.37791669484411e-05,0.0601696373937326,0.0142354064547494
0.09,9e81ce3e9621f78a,0.00141495817580378,3.59751504945549e-05,-2.53255194593294e-11,-7.86400986461933e-07,8.84699757636859e-07,6.48149936499642e-13,0.000492360334090822,6.00084118642652e-05,0.0593309921224459,0.0139535265207691
0.095,9e81ce3e9621f78a,0.00139860920919263,3.55645362042634e-05,-5.70390262799592e-11,-7.7756509913457e-07,8.74758408039161e-07,8.28521279361283e-13,0.000458163491135671,5.61181979061853e-05,0.0584091991700897,0.0136772281834155
0.1,9e81ce3e9621f78a,0.00138216268578614,3.51511131230775e-05,-1.0048320508993e-10,-7.6867790155255e-07,8.64759220448388e-07,1.0441109782322e-12,0.000423674589568004,5.21170460141551e-05,0.0574068430688717,0.0134064009196659
0.105,9e81ce3e9621f78a,0.00136561768159948,3.47345770703722e-05,-1.58004026529213e-10,-7.59734488105235e-07,8.54696696644605e-07,1.29895833672622e-12,0.000388995685783766,4.80132288214197e-05,0.0563259917053005,0.0131409363949997
0.11,9e81ce3e9621f78a,0.0013489742117142,3.4314634403898e-05,-2.32173974490379e-10,-7.50730404085187e-07,8.44565850708148e-07,1.5971703126727e-12,0.000354211264217169,4.38147763239805e-05,0.0551681306608289,0.0128807284200635
0.115,9e81ce3e9621f78a,0.00133223304338975,3.38910012214477e-05,-3.25793642064198e-10,-7.41661629409529e-07,8.34362190586455e-07,1.94288075211491e-12,0.000319388558181852,3.95294813011482e-05,0.0539341009312175,0.0126256729081937
0.12,9e81ce3e9621f78a,0.00131539551565868,3.34634025226654e-05,-4.41892702984781e-10,-7.32524562851306e-07,8.24081700195184e-07,2.34020702122306e-12,0.000284577968928154,3.51649045187141e-05,0.0526240389400803,0.012375667833781
0.125,9e81ce3e9621f78a,0.00129846336612249,3.30315713116536e-05,-5.83730411229944e-10,-7.23316006760039e-07,8.13720822041494e-07,2.79319622986662e-12,0.000249813551313524,3.07283797531532e-05,0.0512373177676018,0.0121306131914581
0.13,9e81ce3e9621f78a,0.00128143856536389,3.2595247622641e-05,-7.54795378976603e-10,-7.14033152236782e-07,8.03276440339978e-07,3.30578880242127e-12,0.000215113538974146,2.62270186675018e-05,0.049772488539511,0.011890410956097
0.135,9e81ce3e9621f78a,0.00126432315913738,3.21541774512546e-05,-9.58805271289442e-10,-7.04673564728975e-07,7.9274586456575e-07,3.88175516036204e-12,0.000180480886343259,2.16677155746581e-05,0.0482272209691079,0.0116549650435971
0.14,9e81ce3e9621f78a,0.00124711911829462,3.17081115759621e-05,-1.19970573753125e-09,-6.95235170065922e-07,7.82126813489784e-07,4.52465148681469e-12,0.000145903808927025,1.7057152108868e-05,0.0465982420980047,0.011424181272451
0.145,9e81ce3e9621f78a,0.00122982819623485,3.1256804255031e-05,-1.48166927338433e-09,-6.85716240829068e-07,7.71417399620181e-07,5.23776941957488e-12,0.000111356307190079,1.24018018388128e-05,0.0448812723544951,0.0111979673260698
0.15,9e81ce3e9621f78a,0.00121245179354873,3.08000117849871e-05,-1.80909401348295e-09,-6.76115383175038e-07,7.6061611407191e-07,6.02408053995696e-12,7.6798662795554e-05,7.70793484117238e-06,0.0430709581175992,0.0109762327158562
0.155,9e81ce3e9621f78a,0.00119499082942962,3.03374909084719e-05,-2.18660203832322e-09,-6.66431523974401e-07,7.49721811863294e-07,6.88618346372794e-12,4.21778991082783e-05,2.98162225942367e-06,0.0411608000566686,0.0107588887450073
0.16,9e81ce3e9621f78a,0.00117744561936928,2.98689970595345e-05,-2.61903798648433e-09,-6.56663898337267e-07,7.3873369757331e-07,7.82625700357364e-12,7.42820057775262e-06,-1.7712591354746e-06,0.039143076596752,0.0105458484730349
0.165,9e81ce3e9621f78a,0.00115981575861918,2.93942824360904e-05,-3.11146748643853e-09,-6.46812037468497e-07,7.27651311418706e-07,8.84600639267097e-12,-2.75287119087461e-05,-6.54502236041576e-06,0.0370087619504575,0.0103370266809883
0.17,9e81ce3e9621f78a,0.00114210001088919,2.89130938900262e-05,-3.66917576877235e-09,-6.36875756878513e-07,7.1647451571101e-07,9.9466095082601e-12,-6.27832505507783e-05,-1.1334165599286e-05,0.0347474382456872,0.0101323398373657
0.175,9e81ce3e9621f78a,0.00112429620176357,2.84251706270666e-05,-4.2976664726968e-09,-6.26855144932395e-07,7.05203481689981e-07,1.11286726361959e-11,-9.84376739545864e-05,-1.61333675279263e-05,0.0323472013820298,0.00993170606470021
