time_s,manifest_id,qV_difference_DG1,qV_difference_DG2,qV_difference_DG3,qV_difference_DG4,qomega_difference_DG1,qomega_difference_DG2,qomega_difference_DG3,qomega_difference_DG4,protected_command_difference,protected_voltage_state_difference,forced_weight_difference_norm,strict_construction_margin
0,f27c2278f5bdb77b,9.61795160181467e-09,4.00395272492915e-11,0,0,-1.60165283813463e-13,1.33471358965132e-13,0,0,4.80897580090733e-09,1.00000008274037e-10,7.69436498160303e-06,0.008
0.005,f27c2278f5bdb77b,8.86999301091818e-09,5.5205180704565e-11,9.04328695261469e-12,1.85401000107888e-11,-2.15545983839327e-12,1.99057523936341e-12,-1.51010931190299e-12,1.07034563504027e-12,4.13408193788989e-09,9.97741889108283e-11,7.79754086854823e-06,0.00681715030783722
0.01,f27c2278f5bdb77b,8.12720735848815e-09,5.58625992685968e-11,9.63108065521467e-12,2.15825066152142e-11,-6.88915331031881e-12,5.72836743317762e-12,-4.61332924986402e-12,3.47780051285218e-12,3.48720601700547e-09,9.90567627923156e-11,7.76310683403558e-06,0.00580919229575881
0.015,f27c2278f5bdb77b,7.40944489791007e-09,5.81314718584025e-11,1.28427650458729e-11,2.65645214159171e-11,-5.70888388645718e-12,4.77182182656577e-12,-3.8665797993942e-12,2.83933206807196e-12,2.88645803786514e-09,9.77169456461979e-11,7.59581168630064e-06,0.00495026713414292
0.02,f27c2278f5bdb77b,6.717612945073e-09,6.00605190581582e-11,1.75576914118736e-11,3.14434311921019e-11,-1.0527117372261e-12,1.04755960850245e-12,-8.50304852570427e-13,4.09592498806788e-13,2.33216356296251e-09,9.58213508539529e-11,7.27135126776801e-06,0.00421833939046711
0.025,f27c2278f5bdb77b,6.03562261974888e-09,4.49337303476405e-11,1.20576985895848e-11,1.78588602239849e-11,1.67662064787244e-12,-1.18005084870365e-12,1.06352231708795e-12,-8.94210486906966e-13,1.81638408827678e-09,9.35165278548311e-11,6.73528648120758e-06,0.00359463171013577
0.03,f27c2278f5bdb77b,5.37388138849293e-09,3.23581925143479e-11,1.32053742940563e-12,4.73891759167344e-12,-4.50621831515896e-12,3.67488656692616e-12,-2.87188458777954e-12,2.34336682003455e-12,1.31729164208616e-09,9.12003805808581e-11,5.86230037491475e-06,0.00306314308834623
0.035,f27c2278f5bdb77b,4.75881661854416e-09,3.50049295105848e-11,1.73246833545804e-12,8.31349572516515e-12,-5.34240837332667e-12,4.2604108175387e-12,-3.46992421774994e-12,2.64717197814845e-12,8.67237903452028e-10,8.84614603791078e-11,4.71619399777801e-06,0.00261023835836831
0.04,f27c2278f5bdb77b,4.17598705962363e-09,2.94351973351148e-11,4.14600645481933e-12,4.8378488715084e-12,1.04159606287291e-12,-9.86275948064441e-13,7.31259670871953e-13,-7.51869053128296e-13,4.86505599694986e-10,8.51281267699733e-11,3.3756566311105e-06,0.0022242984037551
0.045,f27c2278f5bdb77b,3.60127644719044e-09,5.70314628856039e-12,-8.1445926392032e-12,-1.93830368422354e-11,1.56306738385847e-12,-1.50702291357857e-12,1.27944822705256e-12,-8.85851071316668e-13,1.28917489530811e-10,8.17710343881117e-11,1.57617808027588e-06,0.00189542207171228
0.05,f27c2278f5bdb77b,3.06909790637189e-09,5.05003330819598e-12,-1.4805438125487e-11,-2.11502482194703e-11,-3.23370670518575e-12,2.57631004203784e-12,-1.91834097435298e-12,1.76590382941488e-12,-2.32161352642368e-10,7.85882470211163e-11,9.64787721491334e-07,0.00161517214678673
0.055,f27c2278f5bdb77b,2.5779993192282e-09,9.42637114198508e-12,-1.55229770010257e-11,-1.67600117811917e-11,-3.57411149287667e-12,2.83072491228525e-12,-2.27572054625237e-12,1.78081811449959e-12,-5.47600347011734e-10,7.50826067985599e-11,4.02511913732972e-06,0.00137635891144591
0.06,f27c2278f5bdb77b,2.12267135292488e-09,5.54525175777698e-13,-1.14533981257492e-11,-2.35027969308632e-11,1.75694701842755e-12,-1.71833353752524e-12,1.36948213728429e-12,-1.06390785938049e-12,-7.59261337829331e-10,7.11168901545989e-11,7.04440750121105e-06,0.00117285569936381
0.065,f27c2278f5bdb77b,1.68439716081298e-09,-6.0289082753906e-12,-1.87068169114901e-11,-3.1015509605048e-11,-1.97042685987081e-13,3.19198877399285e-14,9.18463879441295e-14,1.28183596549702e-13,-1.00773557901168e-09,6.7491345845383e-11,1.14254546147441e-05,0.000999441699989748
0.07,f27c2278f5bdb77b,1.27979855342854e-09,-1.20088296945431e-11,-2.4277992322682e-11,-3.75709086238019e-11,-9.51416679814687e-13,6.2080982715651e-13,-3.93521993420284e-13,5.1726158079024e-13,-1.21946930678463e-09,6.3759442170408e-11,1.6581250128489e-05,0.000851668037535868
0.075,f27c2278f5bdb77b,9.16512159134658e-10,-1.0895276976626e-11,-2.2752754975236e-11,-3.58134019402129e-11,-6.15617799792911e-13,3.32272268510278e-13,-1.79477391065372e-13,3.23062648681371e-13,-1.38851874442736e-09,5.99846838866824e-11,2.24536980594214e-05,0.000725743628745027
0.08,f27c2278f5bdb77b,5.83435110987351e-10,-8.97398474974942e-12,-2.12242810132546e-11,-3.3304375750276e-11,-4.81175863042971e-13,2.37622204898869e-13,-1.12435126313482e-13,2.46917178543804e-13,-1.53461569146751e-09,5.62432322936957e-11,2.93999128527789e-05,0.000618437925740784
0.085,f27c2278f5bdb77b,2.79967981089979e-10,-6.2776225190353e-12,-1.94732381261775e-11,-3.00616294010569e-11,-1.60800626286539e-13,-3.22139775792152e-14,4.96278365624825e-14,2.03249960264995e-14,-1.65772548119114e-09,5.25395282835461e-11,3.75347181403862e-05,0.000526998037177889
0.09,f27c2278f5bdb77b,1.33243346911449e-11,2.15043260975989e-12,-1.19956006933153e-11,-2.00432517805105e-11,5.20760301200851e-13,-5.63003636766535e-13,4.55461352227154e-13,-3.57462540470643e-13,-1.74805564814862e-09,4.89144280635401e-11,4.66986435027072e-05,0.000449078103839798
0.095,f27c2278f5bdb77b,-2.44402805285593e-10,-3.34637526022696e-12,-1.65977214611202e-11,-2.57584092944185e-11,-3.71111127939194e-13,2.09690378667575e-13,-8.37678993011182e-14,2.11023364581064e-13,-1.83474205273093e-09,4.53390658350372e-11,5.77890433751671e-05,0.000382679117457817
0.1,f27c2278f5bdb77b,-4.7427738125716e-10,-6.56072765559124e-12,-1.99626530583696e-11,-2.93324635414205e-11,-1.42399438594898e-13,-1.62501983440658e-14,5.63205081530183e-15,-9.70935571525944e-15,-1.90129875038414e-09,4.18505230470601e-11,7.0547223446682e-05,0.000326097632888899
0.105,f27c2278f5bdb77b,-6.61410405611296e-10,2.31496245783891e-12,-1.17610244459998e-11,-1.8426423581408e-11,-1.06967711598072e-13,1.5048224710594e-14,4.77435473968113e-14,5.30341829479974e-14,-1.93398544748313e-09,3.85071974307039e-11,8.44688071367505e-05,0.000277882072504156
0.11,f27c2278f5bdb77b,-8.51467740065059e-10,-7.95426918775988e-12,-2.07004344221495e-11,-2.99619183630195e-11,-9.47071197507365e-14,-5.31998219348989e-14,1.1147766737496e-14,-5.27245348075356e-14,-1.9701932446603e-09,3.52065043784933e-11,0.000101280950629112,0.000236795482098471
0.115,f27c2278f5bdb77b,-9.91005267431122e-10,1.7917195505035e-12,-1.1775056624197e-11,-1.77476713880687e-11,-5.68716840114447e-13,3.83077535079553e-13,-2.26496339045257e-13,3.26204991837886e-13,-1.971271743062e-09,3.20452553381756e-11,0.000119194979132264,0.00020178379985921
0.12,f27c2278f5bdb77b,-1.10102334541229e-09,1.8928070916191e-11,2.91732436819014e-12,2.10631512231885e-12,8.49355525148199e-13,-7.63454308994917e-13,5.85946222098066e-13,-5.31929643561579e-13,-1.96146071954062e-09,2.92772472931802e-11,0.000139447759612388,0.000171948811160772
0.125,f27c2278f5bdb77b,-1.24502735898702e-09,-5.34370638016757e-12,-1.72145058624507e-11,-2.51144868790298e-11,1.5762694968724e-13,-2.14123085039673e-13,1.3951925552369e-13,-1.68559610713714e-13,-1.96248543804511e-09,2.62319055366333e-11,0.000164120362385889,0.000146525111748169
0.13,f27c2278f5bdb77b,-1.33989911874077e-09,-6.854532566547e-12,-1.81115799441356e-11,-2.5717938195724e-11,-7.53534550295559e-13,5.46316803102555e-13,-3.75132759057595e-13,4.15300931665141e-13,-1.93413749252636e-09,2.33146835171283e-11,0.000190176352740434,0.000124860464341475
0.135,f27c2278f5bdb77b,-1.40415865740318e-09,1.89256423033246e-12,-1.04255978849999e-11,-1.4710045681543e-11,-9.80036418771896e-13,7.21178704862074e-13,-4.86848408809415e-13,5.63630847723318e-13,-1.89215201319703e-09,2.06688000048416e-11,0.000218680154512985,0.000106399069324515
0.14,f27c2278f5bdb77b,-1.44358534501232e-09,1.75248062589395e-11,2.90703225380717e-12,3.9103720261835e-12,-3.54588157881058e-13,2.62499277956657e-13,-1.18461772509459e-13,2.44624307789432e-13,-1.85101926321318e-09,1.84350312792958e-11,0.000251353229853257,9.06673060513961e-05
0.145,f27c2278f5bdb77b,-1.48950200784537e-09,1.6668607466519e-11,2.64065158628313e-12,3.64393411278474e-12,-1.92013831050442e-14,8.1673383334202e-14,5.19585459726746e-14,1.11749368439384e-13,-1.81205247681837e-09,1.62492241884138e-11,0.000289150931311988,7.72615816229527e-05
