time_s,manifest_id,dqV_DG1,dqV_DG2,dqV_DG3,dqW_DG1,dqW_DG2,dqW_DG3,dcV_DG1,dcV_DG2,dcV_DG3,dcW_DG1,dcW_DG2,dcW_DG3
0.0,9e81ce3e9621f78a,0.0017041042071918588,4.3320498462728896e-05,0.0,-9.454581663820294e-07,1.0636404371780483e-06,0.0,0.0008520521035959294,2.1660249231364448e-05,0.0,-4.727290831910147e-07,5.318202185890242e-07,0.0
0.005,9e81ce3e9621f78a,0.001687212399086896,4.289041298244367e-05,-2.600558657306351e-13,-9.360778295726402e-07,1.0530875646785898e-06,-4.52589354882349e-15,0.000855834940919814,2.1626133833801964e-05,4.4765580131667093e-13,-4.7321245327108796e-07,5.323659651394058e-07,-3.772156198511567e-15
0.01,9e81ce3e9621f78a,0.0016705902986169918,4.2466061732943094e-05,-2.0240753517697385e-13,-9.268343768506493e-07,1.0426887212498792e-06,-4.352421201225809e-15,0.0008557529764233185,2.1526341517946745e-05,1.1105200092842438e-11,-4.7218744918600675e-07,5.312174735754016e-07,1.8257964584655895e-15
0.015,9e81ce3e9621f78a,0.0016541961739673372,4.2046725452410394e-05,2.77416978278211e-14,-9.177111387932702e-07,1.0324251713926536e-06,-4.0696612746415894e-15,0.0008519411923859355,2.136431849586451e-05,3.5939334841472714e-11,-4.6972022568498445e-07,5.284475889186929e-07,2.0997092953223273e-14
0.02,9e81ce3e9621f78a,0.0016379904141256008,4.163172766052936e-05,5.806743974545725e-13,-9.086923301350469e-07,1.0222791605035697e-06,-3.4833247397614286e-15,0.0008445657618795233,2.114319979093504e-05,7.684400338270336e-11,-4.6587453000814655e-07,5.241268047628811e-07,6.669144403392835e-14
0.025,9e81ce3e9621f78a,0.0016219357816102398,4.122043159981992e-05,1.6071172170839532e-12,-8.997630220573816e-07,1.0122338868490122e-06,-2.256875242245826e-15,0.0008338190282734526,2.0865829045035866e-05,1.3253555197767497e-10,-4.607118649262512e-07,5.183233910445451e-07,1.5575995354621952e-13
0.03,9e81ce3e9621f78a,0.0016059976109537577,4.081223684679336e-05,3.228334266580646e-12,-8.909091078687648e-07,1.0022734658610144e-06,1.3530843112619095e-16,0.0008199142754045929,2.053477785429747e-05,1.9883647506269142e-10,-4.5429163230727154e-07,5.111035126202645e-07,3.0860080116323907e-13
0.035,9e81ce3e9621f78a,0.001590143952098333,4.040657617346288e-05,5.508787870311949e-12,-8.821172705758551e-07,9.923828961644343e-07,4.418340693312928e-15,0.0008030804829407823,2.01523665138148e-05,2.689165556901685e-10,-4.466712644028703e-07,5.025313392047204e-07,5.4877239905049e-13
0.04,9e81ce3e9621f78a,0.0015743456602276829,4.0002912665509927e-05,8.432143872028064e-12,-8.733749521962209e-07,9.825480271237474e-07,1.1563666690861396e-14,0.0007835572321870932,1.97206856276666e-05,3.335345610810947e-10,-4.379063433812558e-07,4.926691470150818e-07,9.025284859742744e-13
0.045,9e81ce3e9621f78a,0.0015585764350081466,3.960073710054801e-05,1.1879400241276983e-11,-8.646703246358023e-07,9.727555278921107e-07,2.2792531750859268e-14,0.0007615898940513399,1.9241618017362683e-05,3.812554855153749e-10,-4.280507103320008e-07,4.815774126282202e-07,1.3983367415371095e-12
0.05,9e81ce3e9621f78a,0.0015428128133113672,3.9199565581404805e-05,1.5609777359593124e-11,-8.559922620374194e-07,9.629928577215702e-07,3.9608941126978436e-14,0.0007374251980009627,1.871686036769571e-05,3.9863376488646907e-10,-4.171565644254388e-07,4.693148993716728e-07,2.066370512199267e-12
0.055,9e81ce3e9621f78a,0.001527034120254428,3.8798937416428814e-05,1.924341241910099e-11,-8.473303144997113e-07,9.532482376454349e-07,6.378751693514317e-14,0.0007113072499420614,1.8147944124607962e-05,3.7041500422496654e-10,-4.052745529101176e-07,4.559387367202017e-07,2.937974082767303e-12
0.06,9e81ce3e9621f78a,0.0015112223838562866,3.839841323330373e-05,2.2246329778319307e-11,-8.386746830138514e-07,9.435106232691393e-07,9.739951900566979e-14,0.0006834740392532845,1.7536255185246485e-05,2.7968687088542055e-10,-3.924538529214913e-07,4.4150449313683227e-07,4.0451227437121595e-12
0.065,9e81ce3e9621f78a,0.0014953622188042803,3.79975733082738e-05,2.3917104408077705e-11,-8.300161955451801e-07,9.337696786765326e-07,1.4280417126588674e-13,0.0006541544509294228,1.6883052025545853e-05,1.080406319964311e-10,-3.787422454956321e-07,4.260662427530218e-07,5.419904976211587e-12
0.07,9e81ce3e9621f78a,0.0014794406847987718,3.7596016091656637e-05,2.337524618312159e-11,-8.213462842007746e-07,9.240157513579206e-07,2.0263912076101676e-13,0.0006235657787477256,1.6189481959361096e-05,-1.6428017279856988e-10,-3.6418618273512116e-07,4.096766263511284e-07,7.093948258679594e-12
0.075,9e81ce3e9621f78a,0.0014634471247384484,3.7193356906273234e-05,1.9550971952497775e-11,-8.126569633580549e-07,9.142398480956743e-07,2.7981263139853496e-13,0.0005919117193000645,1.5456595316848398e-05,-5.582603823661714e-10,-3.4883084849314516e-07,3.92386907049902e-07,9.097940933608384e-12
0.08,9e81ce3e9621f78a,0.0014473729876683106,3.678922679498098e-05,1.1176642944477067e-11,-8.039408086468747e-07,9.044336117258744e-07,3.77491440883837e-13,0.0005593808147385526,1.4685357386884368e-05,-1.0959854412906367e-09,-3.3272021335642443e-07,3.742470211093307e-07,1.1461087721237329e-11
