time_s,manifest_id,frequency_Hz_DG1,frequency_Hz_DG2,frequency_Hz_DG3,frequency_Hz_DG4,frequency_error_Hz_DG1,frequency_error_Hz_DG2,frequency_error_Hz_DG3,frequency_error_Hz_DG4,ppc_boundary_Hz_DG1,ppc_boundary_Hz_DG2,ppc_boundary_Hz_DG3,ppc_boundary_Hz_DG4
0,f27c2278f5bdb77b,50.035,50.025,50.02,50.03,0.0349999999999966,0.0249999999999986,0.0200000000000031,0.0300000000000011,1.5,1.5,1.5,1.5
0.005,f27c2278f5bdb77b,50.034277699049,50.0246350525699,50.0200172013557,50.0299517238141,0.0342776990489781,0.0246350525698915,0.0200172013557349,0.0299517238141362,1.5,1.5,1.5,1.5
0.01,f27c2278f5bdb77b,50.0335625082412,50.0242737727727,50.0200343055946,50.0299038824615,0.033562508241225,0.0242737727726805,0.0200343055945993,0.0299038824615323,1.5,1.5,1.5,1.5
0.015,f27c2278f5bdb77b,50.0328543597021,50.0239161238833,50.0200513110667,50.0298564716651,0.0328543597021351,0.0239161238832892,0.0200513110667302,0.0298564716651271,1.5,1.5,1.5,1.5
0.02,f27c2278f5bdb77b,50.0321531862007,50.0235620695414,50.0200682161637,50.0298094871904,0.0321531862007376,0.0235620695413914,0.0200682161636649,0.0298094871904482,1.5,1.5,1.5,1.5
0.025,f27c2278f5bdb77b,50.0314589211436,50.0232115737478,50.0200850193177,50.0297629248452,0.0314589211436243,0.0232115737477798,0.020085019317726,0.0297629248451869,1.5,1.5,1.5,1.5
0.03,f27c2278f5bdb77b,50.0307714985689,50.0228646008608,50.0201017190014,50.0297167804787,0.0307714985688889,0.0228646008607925,0.0201017190013744,0.0297167804787435,1.5,1.5,1.5,1.5
0.035,f27c2278f5bdb77b,50.0300908531402,50.0225211155928,50.0201183137266,50.0296710499818,0.030090853140166,0.0225211155928022,0.0201183137265701,0.0296710499817792,1.5,1.5,1.5,1.5
0.04,f27c2278f5bdb77b,50.0294169201407,50.0221810830067,50.0201348020442,50.0296257292858,0.0294169201407186,0.0221810830066786,0.0201348020441969,0.0296257292857689,1.5,1.5,1.5,1.5
0.045,f27c2278f5bdb77b,50.0287496354676,50.0218444685124,50.0201511825434,50.0295808143626,0.0287496354675696,0.0218444685123842,0.0201511825434224,0.029580814362582,1.5,1.5,1.5,1.5
0.05,f27c2278f5bdb77b,50.0280889356257,50.0215112378635,50.0201674538511,50.0295363012241,0.0280889356256679,0.0215112378634643,0.0201674538511014,0.0295363012240557,1.5,1.5,1.5,1.5
0.055,f27c2278f5bdb77b,50.0274347577222,50.0211813571537,50.0201836146312,50.0294921859215,0.0274347577221903,0.0211813571537363,0.0201836146312004,0.0294921859215407,1.5,1.5,1.5,1.5
0.06,f27c2278f5bdb77b,50.0267870394608,50.0208547928139,50.0201996635842,50.0294484645455,0.0267870394607854,0.0208547928138501,0.0201996635842079,0.0294484645455242,1.5,1.5,1.5,1.5
