time_s,V1,V2,V3,Vdot1,Vdot2,Vdot3,omega1,omega2,omega3,delta1,delta2,delta3,pV1,pV2,pV3,qV1,qV2,qV3,pW1,pW2,pW3,qW1,qW2,qW3
0,1.02,0.985,1.01,0,0,0,0.01,-0.006,0.004,0.02,-0.01,0,0.222987539963193,-0.200183016603274,0.125393843279728,0.162987539963193,-0.150183016603274,0.0853938432797285,0.0157345264465782,-0.0117109663425478,0.00987392303412422,-0.0242654735534218,0.0182890336574522,-0.0101260769658758
0.005,1.01996374286717,0.985033835692186,1.00998053041243,-0.0144142226888952,0.0134498854686806,-0.00774060284807088,0.00974414344711211,-0.00578084223209566,0.00386503152053336,0.0200493578244627,-0.0100294502237087,1.96610837194227e-05,0.222395281412167,-0.199689361044996,0.124997977959681,0.163583361013762,-0.150679427379658,0.0857900310274105,0.015338417712501,-0.0114135237939178,0.00967582053813863,-0.0238695292197693,0.0179924364052849,-0.0099281529279965
0.01,1.01985673345887,0.985133664251385,1.00992306081274,-0.0283030130860438,0.0263989934171349,-0.0152010911331687,0.00949430039815594,-0.00556616661227535,0.00373360671786694,0.0200974514567975,-0.0100578158925278,3.86562212064996e-05,0.221814216671621,-0.199204919394186,0.124608340387326,0.164166850322481,-0.151165447436569,0.0861767628212326,0.0149499853055003,-0.011121132875453,0.00948146229770968,-0.0234815922605928,0.0177025502991168,-0.00973432648533683
0.015,1.01968156790554,0.985297009106419,1.00982897572135,-0.0416786822257008,0.0388581746169685,-0.0223878379467489,0.00925033595463568,-0.00535590490957138,0.00360563798757961,0.0201443106259445,-0.0100851192463196,5.70029108950957e-05,0.221238094643482,-0.198724624896505,0.12422195879461,0.164732222628426,-0.151636398217292,0.0865513774512402,0.0145690726157144,-0.0108337000568958,0.00929077333827949,-0.0231015087276558,0.0174192359506318,-0.00954451733340562
0.02,1.01944078227496,0.985521446822058,1.00969962849836,-0.0545529497429064,0.0508378364899802,-0.029306936884221,0.00901211837674437,-0.00514998961819174,0.00348103995025706,0.0201899643942823,-0.0101113821856018,7.47182187833841e-05,0.220660921640566,-0.198243613443283,0.123835982402177,0.165273940857367,-0.15208779612395,0.0869113285467106,0.0141955265456735,-0.0105511336132673,0.00910368019872589,-0.0227291273097925,0.0171423567783322,-0.0093586467290071
0.025,1.01913685544526,0.985804604939562,1.00953634270321,-0.0669369774806249,0.0623479660529026,-0.035964217069613,0.00877951900209024,-0.00494835396301887,0.00335972939491007,0.0202344411732174,-0.0101366262751877,9.18187894168564e-05,0.220076976537203,-0.197757232585762,0.123447681339379,0.165786731455044,-0.152515361683964,0.0872541846179402,0.0138291974092286,-0.0102733435849062,0.00892011090026733,-0.0223642993122104,0.016871778956173,-0.00917663746045216
0.03,1.01877221180993,0.986144159932301,1.00934041338042,-0.0788414029525209,0.0733981529445094,-0.0423652577273092,0.00855241216691197,-0.00475093190420615,0.00324162522378144,0.0202777687383732,-0.0101608727478516,0.000108320856591696,0.219480822876413,-0.197261048669515,0.123054446258808,0.166265596673382,-0.152915026833655,0.0875776287901203,0.0134699388349354,-0.0100002417387919,0.00873999491616624,-0.0220068786337521,0.0166073713627238,-0.00899841381817752
0.035,1.01834922381678,0.986537835276181,1.00911310827371,-0.0902763724575814,0.083997612382059,-0.04851540229305,0.00833067512966415,-0.00455765814091692,0.00312664839850125,0.0203199742443913,-0.0101841425080144,0.00012424025378611,0.218867317831031,-0.196750851986703,0.122653787624591,0.1667058237071,-0.15328294021676,0.0878794582086372,0.0131176076736088,-0.00973174153108717,0.00856326314219129,-0.0216567217423453,0.0163490055308784,-0.00882390156578575
0.04,1.01787021434211,0.98698339963459,1.00885566897053,-0.101251573637958,0.0941552078900428,-0.0544197720518557,0.0081141879968719,-0.00436846811424507,0.00301472188756261,0.0203610842393562,-0.0102064561354471,0.000139592424325153,0.218231618017735,-0.196222659914414,0.12224333466553,0.167102990679759,-0.1536154704661,0.0881575831068792,0.0127720639097922,-0.00946775807084663,0.00838984786780573,-0.0213136876488587,0.0160965555981415,-0.00865302791151971
0.045,1.01733745890421,0.987478665155981,1.00856931197978,-0.11177626729102,0.103879473657053,-0.0600832792950692,0.00790283365115088,-0.00418329800936023,0.00290577061507927,0.0204011246788546,-0.0102278338889851,0.000154392431286485,0.217569182245343,-0.1956727180649,0.121820833992665,0.167452969560663,-0.153909207494333,0.0884100255362115,0.0124331705768976,-0.00920820808483307,0.00821968274804711,-0.0209776378795562,0.0158498982575073,-0.00848572148017983
0.05,1.01675318771994,0.988021485882043,1.0082552297449,-0.121859318254883,0.113178636381806,-0.0655106399865534,0.00769649768130249,-0.00400208475691632,0.0027997214107952,0.0204401209396808,-0.0102482957102533,0.000168654967152982,0.216875771346612,-0.195097499521425,0.121384147889171,0.167751926161928,-0.154160961867521,0.0886349177660482,0.012100793675794,-0.00895300988339075,0.00805270277606904,-0.0206484364473288,0.0156089127089514,-0.00832191228549236
0.055,1.01611958760954,0.988609756263573,1.00791459159488,-0.131509225207091,0.122060636482991,-0.0707063859302927,0.00749506831439835,-0.00382476603376243,0.00269650296131495,0.0204780978331962,-0.010267861227395,0.000182394363218461,0.216147445293878,-0.194493702270298,0.120931252286612,0.167996317416123,-0.154367762372169,0.0888305003681093,0.0117748020966369,-0.00870208332732582,0.00788884425631674,-0.0203259498218663,0.0153734806115516,-0.00816153170293486
0.06,1.01543880375545,0.989241409780555,1.00754854463568,-0.140734149236133,0.130533148561127,-0.0756748764329954,0.00729843634977386,-0.00365128026299369,0.00259604576252467,0.0205150796183557,-0.0102865497588035,0.000195624598752549,0.215380557835839,-0.193858244967311,0.12046023444669,0.168182886171839,-0.154526851913978,0.0889951200040233,0.0114550675437466,-0.00845534979574709,0.00772804477831037,-0.0200100468989201,0.0151434860362529,-0.00800451244302297
0.065,1.01471294132164,0.98991441766249,1.00715821458462,-0.149541941067255,0.138603601015497,-0.080420309457047,0.00710649509485658,-0.00348156661337874,0.00249828207317502,0.0205510900144074,-0.0103043803168521,0.000208359309930562,0.214571748916727,-0.193188261195954,0.119969290371476,0.168308653768506,-0.15463568190577,0.0891272269393284,0.0111414644633571,-0.00821273215482269,0.00757024319101198,-0.0197005989687906,0.0149188154192881,-0.00785078852506186
